,,Compliance,Integrity,Reuse/Collaboration,Value,Excellence,Public Interest,Impact,Risks,Benefits,Recognition,Ethics,Career,influence,reputational damage
University of Edinburgh,2011,1,1,1,1,1,1,0,0,0,0,0,0,0,0
University of Warwick,2011,1,0,0,1,0,1,0,0,0,0,0,0,0,0
University of East London,2012,1,1,0,0,1,0,0,0,0,0,0,0,0,0
University of Sheffield,2012,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Queen Mary University of London,2013,1,0,0,1,0,1,0,0,0,0,,0,0,0
University College London,2013,1,0,1,1,0,0,0,1,0,0,0,0,0,0
University of Strathclyde,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brunel University,2014,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Nottingham Trent University,2014,0,0,0,0,1,0,0,0,0,0,,0,0,0
Royal Holloway,2014,1,1,0,0,1,1,0,0,0,0,,0,0,0
University of Northampton,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Sussex,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of the Arts London,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Edinburgh Napier University,2015,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Heriot-Watt University,2015,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Lancaster University,2015,1,0,1,1,0,0,0,1,0,0,,0,0,0
London South Bank University,2015,1,1,1,1,0,0,0,0,0,0,,0,0,0
LSE,2015,0,0,0,1,0,0,0,0,0,0,,0,0,0
Swansea University,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0
University of Bolton,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Bristol,2015,0,1,0,1,1,0,0,0,0,0,0,0,0,0
University of South Wales,2015,1,0,0,0,0,0,0,1,0,0,0,0,0,0
University of the West of England,2015,0,1,1,0,0,0,1,1,0,0,0,0,0,0
Bournemouth University,2016,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Buckinghamshire New University,2016,1,0,0,1,0,0,0,0,1,0,1,0,0,0
Loughborough University,2016,0,1,0,0,1,0,0,0,0,0,,0,0,0
University of Glasgow,2016,0,1,1,0,1,1,1,0,0,0,0,0,0,0
University of Lincoln,2016,1,0,1,1,0,1,0,0,1,0,0,0,0,0
University of Salford,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Worcester,2016,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Cardiff Metropolitan University,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Oxford Brookes University,2017,1,1,0,1,1,1,0,0,0,0,,0,0,0
Sheffield Hallam University,2017,1,1,1,1,1,0,0,0,0,0,1,0,0,0
SOAS,2017,1,0,1,0,0,0,0,0,0,0,0,0,0,0
University of Exeter,2017,1,1,1,1,1,1,0,1,1,0,0,0,0,0
University of Kent,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
University of Leeds,2017,0,1,1,1,0,0,1,0,0,1,0,0,0,0
University of Reading,2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0
University of Westminster,2017,1,1,1,0,1,1,1,1,0,0,0,0,0,0
University of York,2017,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Abertay University,2018,1,0,1,1,0,0,0,1,0,0,0,0,0,1
Bangor University,2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bath Spa University,2018,1,1,0,0,0,1,1,0,0,0,1,0,0,0
Glasgow Caledonian University,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle University,2018,1,0,1,1,0,0,1,0,0,0,,0,0,0
University of Birmingham,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Essex,2018,1,1,0,0,1,0,1,0,0,1,0,0,0,0
University of Lincoln,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0
University of Oxford,2018,1,1,1,0,1,1,1,1,0,0,0,0,0,0
University of Stirling,2018,1,0,0,1,1,0,0,0,0,0,0,0,0,0
University of the Highlands & Islands,2018,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Kings College London,2019,1,1,1,1,0,1,1,1,1,0,0,0,0,0
Kingston University,2019,1,1,1,0,0,1,1,1,1,1,0,0,0,0
Liverpool John Moores University,2019,1,1,0,1,1,1,0,0,0,0,,0,0,0
Northumbria University,2019,1,0,0,0,0,1,1,0,1,0,,0,0,0
Sheffield Hallam University,2019,1,1,1,1,1,0,0,0,0,0,1,0,0,0
St George's,2019,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Ulster University,2019,1,1,1,1,1,1,1,0,0,1,0,0,0,0
University of Bath,2019,0,0,0,1,0,1,0,0,1,0,0,0,0,0
University of Cumbria,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
University of East Anglia,2019,1,0,1,1,0,1,1,1,1,0,0,0,1,0
University of East London,2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0
University of Hull,2019,1,0,0,1,0,0,1,0,0,0,0,0,0,0
University of Liverpool,2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0
University of Manchester,2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0
University of Plymouth,2019,1,1,1,1,0,0,0,0,0,0,0,0,0,0
University of Southampton,2019,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Aston University,2020,1,1,1,0,0,1,0,1,0,0,0,0,0,0
De Montfort University,2020,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Hartpury University,2020,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Manchester Metropolitan University,2020,0,1,1,0,1,1,0,0,1,0,,0,0,0
Newcastle University,2020,1,0,1,1,0,0,1,0,0,0,,0,0,0
Teesside University,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0
University College London,2020,1,0,1,1,0,0,0,1,0,0,0,0,0,0
University of Aberdeen,2020,1,1,1,0,1,0,1,1,0,1,1,0,1,0
University of Greenwich,2020,1,0,1,0,0,0,1,0,0,0,0,0,0,0
University of Huddersfield,2020,1,1,1,1,1,1,1,0,0,0,0,0,0,0
University of Sheffield,2020,1,1,1,0,0,0,1,1,0,0,0,0,0,0
University of Wolverhampton,2020,1,1,0,0,1,0,1,0,0,0,0,0,0,0
York St John University,2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Aberystwyth University,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London School of Hygeine & Tropical Medicine,2021,1,1,1,1,0,0,0,0,0,0,,0,0,0
Queen Margaret University,2021,1,1,1,1,0,0,0,0,0,0,,0,0,0
Robert Gordon University,2021,1,1,0,1,0,1,1,0,1,0,,0,0,0
St Mary's University,2021,1,1,1,0,0,0,0,1,0,0,0,0,0,0
The Open University,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Cambridge,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
University of Central Lancashire,2021,1,0,1,1,0,1,1,0,0,1,0,0,0,0
University of Edinburgh,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0
University of Manchester,2021,1,1,0,1,0,0,0,0,0,0,0,0,0,0
University of Portsmouth,2021,0,0,0,1,0,0,1,0,0,0,0,1,0,0
University of St Andrews,2021,1,0,1,1,1,0,0,1,0,0,0,0,0,0
University of Surrey,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cranfield University,2022,1,1,0,0,0,0,0,0,0,1,,0,0,0
Edinburgh Napier University,2022,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Imperial College London,2022,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Leeds Trinity University,2022,1,1,1,1,0,0,1,0,0,1,,0,0,0
Manchester Metropolitan University,2022,0,1,1,0,1,1,0,0,1,0,,0,0,0
Queen's University Belfast,2022,1,1,1,1,1,0,0,1,1,1,,1,0,0
University for the Creative Arts,2022,1,1,1,1,1,0,0,1,0,0,0,0,0,0
University of Bolton,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of East Anglia,2022,1,0,1,1,0,1,1,1,1,0,0,0,1,0
University of Northampton,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Plymouth,2022,1,1,1,1,0,0,0,0,0,0,0,0,0,0
University of Sussex,2022,0,1,0,1,1,0,0,0,0,0,0,0,0,0
University of the West of England,2022,0,1,1,0,0,0,1,0,0,1,0,0,0,0
University of Warwick,2022,,,,,,,,,,,,,,
University of West London,2022,1,1,1,1,0,0,1,0,1,0,0,0,0,0
University of Westminster,2022,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Aston University,2023,1,1,,1,0,0,0,0,1,0,,0,0,0
Cranfield University,2023,1,1,,0,0,0,0,0,0,1,,0,0,0
Hartpury University,2023,1,1,,0,1,0,0,0,0,0,,0,0,0
Liverpool John Moores University,2023,1,1,0,1,1,1,0,0,0,0,,0,0,0
LSE,2023,1,1,1,1,0,1,1,1,1,0,,0,0,0
St George's,2023,1,1,1,1,0,0,0,0,0,0,0,0,0,0
University of Glasgow,2023,0,1,1,0,0,1,1,0,0,0,0,0,0,0
University of Hull,2023,1,1,0,1,0,0,1,0,0,0,0,0,0,0
University of Oxford,2023,1,1,1,0,1,1,1,1,0,0,0,1,0,0
University of St Andrews,2023,1,0,1,1,1,0,0,1,0,0,0,0,0,0
University of Strathclyde,2023,1,1,0,0,1,1,0,1,0,0,0,0,0,0
University of Wolverhampton,2023,1,1,0,0,1,0,1,0,0,0,0,0,0,0
University of York,2023,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Bath Spa University,2024,1,1,0,0,0,1,1,0,0,0,1,0,0,0
London School of Hygeine & Tropical Medicine,2024,1,1,1,1,0,0,0,0,0,0,,0,0,0
Queen's University Belfast,2024,1,1,1,1,1,0,0,1,1,1,,1,0,0
Teesside University,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0
University College London,2024,1,1,1,1,0,0,0,1,0,0,0,0,0,0
University for the Creative Arts,2024,1,1,1,1,1,0,0,1,0,0,0,0,0,0
University of Birmingham,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Essex,2024,0,1,0,0,1,0,1,0,0,1,0,0,0,0
University of Liverpool,2024,1,1,1,0,0,1,1,0,1,0,0,1,0,0
University of Reading,2024,1,1,0,1,0,1,0,0,0,0,0,0,0,0
University of Salford,2024,1,1,1,0,0,0,1,0,0,0,0,0,0,0
University of Southampton,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,77.44360902,60.15037594,46.15384615,47.36842105,36.09022556,30.82706767,28.57142857,22.55639098,15.03759398,10.52631579,6.603773585,3.759398496,2.255639098,0.751879699
